title,rooms,square_m,floor,serie,price,link,area,region,street,building_total_floors,price_per_square_m,time
"Izīrē plašu,  mūsdienīgu 2 istabu dzīvoklis ekskluzīvajā projekt",2.0,76,4.0,Jaun.,699.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aefeo.html,riga,centrs,Hospitāļu 23,6,9.197368421052632,2023-01-05 07:32:31
"Izīrē mājīgu, tīru studio tipa dzīvokli, aprīkotu ar tehniku. Li",1.0,29,2.0,Čehu pr.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/cnpox.html,riga,Jugla,Brīvības 404,12,10.0,2023-01-05 07:32:31
Īpašnieks īrē dzīvokli vismaz uz gadu. Dzīvoklis ir pilnībā aprī,3.0,95,4.0,Jaun.,1500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ehkbh.html,riga,centrs,Rūpniecības 50,7,15.789473684210526,2023-01-05 07:32:31
"Izīrē mājīgu, tīru studio tipa dzīvokli, aprīkotu ar tehniku. Li",1.0,29,2.0,Čehu pr.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/agnmn.html,riga,Teika,Brīvības 404,12,10.0,2023-01-05 07:32:31
"Сдается 1 комнатная квартира 602 серии. Солнечная сторона, теп",1.0,32,8.0,602.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ddkkd.html,riga,Pļavnieki,Ulbrokas 1,9,7.5,2023-01-05 07:32:31
"Izīrē 2-istabu dzīvokli Ziepniekalnā. Kopējā platība 48, 2 m2",2.0,48,1.0,Jaun.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/fikom.html,riga,Ziepniekkalns,Bikstu 6,5,8.333333333333334,2023-01-05 07:32:31
Īpašnieks izīrē mēbelētu 3-istabu dzīvokli (120.7 m2 ) ar terasi,3.0,131,5.0,Jaun.,1200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dcgjg.html,riga,centrs,Hospitāļu 23,7,9.16030534351145,2023-01-05 07:32:31
"Izīrē vienistabas dzīvokli 36 kvm Imantā 2 , lieliskā vietā, vei",1.0,36,3.0,602.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aiocm.html,riga,Imanta,Kleistu 21,9,5.555555555555555,2023-01-05 07:32:31
Ilgtermiņa īrei tiek piedāvāts plašs un saulains dzīvoklis klusā,2.0,45,4.0,Hrušč.,310.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ehmbf.html,riga,Āgenskalns,Grīna bulv. 5,5,6.888888888888889,2023-01-05 07:32:31
Dzīvoklis ekskluzīvā vieta pie parka. Saimnieks izīrē uz 4 mēneš,2.0,50,5.0,P. kara,590.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ddbee.html,riga,centrs,Matīsa 41,5,11.8,2023-01-05 07:32:31
